Name,Address,City,State,Zip Code,Latitude,Longitude,Cuisine Type,Review Count,Rating
Yokato Yokabai,"4185 Rue Drolet Montreal, QC H2W 2L5 Canada",Montreal,QC,H2W 2L5,45.5212206164378,-73.578518757916,Ramen,511,4.3
Le Filet,"219 Ave du Mont Royal W Montreal, QC H2T 2Y6 Canada",Montreal,QC,H2T 2Y6,45.5224024,-73.5844894,Seafood,116,4.4
Biirū,"1433 City Councillors Montreal, QC H3A 2E4 Canada",Montreal,QC,H3A 2E4,45.5049159,-73.5686505,"Japanese, Bars",203,4.0
Lola Rosa,"545 Rue Milton Montreal, QC H2X 1W5 Canada",Montreal,QC,H2X 1W5,45.5073247805376,-73.5757481897374,Vegetarian,307,4.3
Gyu-Kaku Japanese BBQ,"1255 Rue Crescent Montreal, QC H3G 2B1 Canada",Montreal,QC,H3G 2B1,45.49681,-73.5746,"Japanese, Barbeque, Asian Fusion",218,4.4
Il Focolaio,"1223 Rue du Square-Phillips Montreal, QC H3B 3E9 Canada",Montreal,QC,H3B 3E9,45.50407,-73.56807,"Pizza, Italian",515,4.3
Tiradito,"1076 Rue de Bleury Montreal, QC H2Z 1N1 Canada",Montreal,QC,H2Z 1N1,45.50434,-73.56348,"Peruvian, Cocktail Bars, Asian Fusion",160,4.1
Patati Patata,"4177 Boulevard Saint-Laurent Montreal, QC H2W 1Y7 Canada",Montreal,QC,H2W 1Y7,45.51814,-73.581503,"Burgers, Poutineries",372,4.2
NYK'S,"1250 Rue de Bleury Montreal, QC H3B 2W4 Canada",Montreal,QC,H3B 2W4,45.5060324,-73.566685,"Pubs, Burgers, Tapas Bars",210,4.1
Garde Manger,"408 Rue Saint-François-Xavier Montreal, QC H2Y 2S9 Canada",Montreal,QC,H2Y 2S9,45.50273,-73.5557,Seafood,459,4.2
Ibéricos,"4475 Rue Saint-Denis Montreal, QC H2J 2L2 Canada",Montreal,QC,H2J 2L2,45.5239019496467,-73.5824299603701,"Spanish, Tapas Bars",84,4.4
Le Passé Composé,"1310 Boulevard de Maisonneuve E Montreal, QC H2L 2A5 Canada",Montreal,QC,H2L 2A5,45.520079,-73.556603,"Breakfast & Brunch, Bistros",409,4.4
The Keg Steakhouse + Bar,"5 Place Ville Marie Montreal, QC H3B 2G2 Canada",Montreal,QC,H3B 2G2,45.5007523,-73.5694969,"Steakhouses, Bars, Seafood",350,4.2
Lawrence,"9 Avenue Fairmount E Montreal, QC H2T 2L9 Canada",Montreal,QC,H2T 2L9,45.524143,-73.5946503,Modern European,238,4.3
Gibbys,"298 Place d'Youville Montreal, QC H2Y 2B6 Canada",Montreal,QC,H2Y 2B6,45.50141,-73.55475,"Seafood, Steakhouses",556,4.3
Réservoir,"9 Avenue Duluth E Montreal, QC H2W 1G7 Canada",Montreal,QC,H2W 1G7,45.517237,-73.57932,"Breakfast & Brunch, Brasseries",154,4.1
Escondite,"1224 Rue Drummond Montreal, QC H3G 1V7 Canada",Montreal,QC,H3G 1V7,45.497994,-73.573128,Mexican,65,4.4
The Keg Steakhouse + Bar - Montreal,"25 Saint Paul Street E Montreal, QC H2Y 1G2 Canada",Montreal,QC,H2Y 1G2,45.5060875776279,-73.55361568537528,"Steakhouses, Bars, Seafood",251,4.2
Le Club Chasse et Pêche,"423 Rue Saint-Claude Montreal, QC H2Y 3B6 Canada",Montreal,QC,H2Y 3B6,45.50893,-73.55241,"French, Canadian (New)",237,4.6
La Capital Tacos,"1096 Boulevard Saint-Laurent Montreal, QC H2Z 1J5 Canada",Montreal,QC,H2Z 1J5,45.50838,-73.561,Mexican,340,4.1
Joséphine,"4007 Rue Saint-Denis Montreal, QC H2W 2M4 Canada",Montreal,QC,H2W 2M4,45.52086,-73.57556,Seafood,34,4.4
L'Orignal,"479 Rue Saint-Alexis Montreal, QC H2Y 2N7 Canada",Montreal,QC,H2Y 2N7,45.50275,-73.55798,Canadian (New),298,4.2
KINTON RAMEN BISHOP,"1211 Rue Bishop Montreal, QC H3G 2E2 Canada",Montreal,QC,H3G 2E2,45.49601,-73.57487,Ramen,266,3.9
Jatoba,"1184 Place Phillips Montreal, QC H3B 3C8 Canada",Montreal,QC,H3B 3C8,45.503313,-73.567344,Japanese,150,4.0
Kinka Izakaya Montreal,"1624 Rue Sainte-Catherine Ouest Montreal, QC H3H 2S7 Canada",Montreal,QC,H3H 2S7,45.4939720355803,-73.5788095157423,"Japanese, Pubs, Tapas Bars",387,3.9
Maison Boulud,"1228 Rue Sherbrooke O Montreal, QC H3G 1G2 Canada",Montreal,QC,H3G 1G2,45.49985,-73.5779699,"French, Breakfast & Brunch",203,4.2
Imadake,"4006 Rue Sainte-Catherine O Montreal, QC H3Z 1P2 Canada",Montreal,QC,H3Z 1P2,45.488882667853325,-73.5845826711644,"Japanese, Bars",294,4.1
Taza Flores,"5375 Avenue du Parc Montreal, QC H2V 4G9 Canada",Montreal,QC,H2V 4G9,45.52183,-73.60072,"Tapas Bars, Modern European",52,4.3
Estiatorio Milos,"5357 Ave Du Parc Montreal, QC H2V 4G9 Canada",Montreal,QC,H2V 4G9,45.52169101888991,-73.60049302269982,Greek,177,4.2
Beatrice,"1504 Rue Sherbrooke O Montreal, QC H3G 1L3 Canada",Montreal,QC,H3G 1L3,45.49696960899045,-73.5809371404922,Italian,96,4.1
Gus,"38 Rue Beaubien E Montreal, QC H2S 1P8 Canada",Montreal,QC,H2S 1P8,45.5306384,-73.6080747,"Seafood, Steakhouses",97,4.5
Pullman,"3424 Avenue du Parc Montreal, QC H2X 2H5 Canada",Montreal,QC,H2X 2H5,45.50845,-73.5721,"Tapas/Small Plates, Wine Bars",206,4.1
Hoogan et Beaufort,"4095 Rue Molson Montreal, QC H1Y 3L1 Canada",Montreal,QC,H1Y 3L1,45.5421766124662,-73.5634769072506,"Canadian (New), Breweries",91,4.5
MajesThé,"2077 Boulevard Robert-Bourassa Montreal, QC H3A 2M3 Canada",Montreal,QC,H3A 2M3,45.50484,-73.572759,"Asian Fusion, Bubble Tea, Taiwanese",170,4.1
Olive + Gourmando,"351 Rue Saint-Paul O Montreal, QC H2Y 2A7 Canada",Montreal,QC,H2Y 2A7,45.501197,-73.5564745926598,"Sandwiches, Breakfast & Brunch, Salad",1710,4.4
Le Mousso,"1023 Rue Ontario E Montreal, QC H2L 1P8 Canada",Montreal,QC,H2L 1P8,45.52006,-73.56322,Canadian (New),57,4.5
O'Thym,"1112 Boulevard de Maisonneuve E Montreal, QC H2L 1Z5 Canada",Montreal,QC,H2L 1Z5,45.518377,-73.558126,French,183,4.4
Sparrow,"5322 Boulevard Saint-Laurent Montreal, QC H2T 1A5 Canada",Montreal,QC,H2T 1A5,45.52453,-73.59662,"Breakfast & Brunch, Cocktail Bars",211,4.0
Queen Sheba,"4525 Avenue du Parc Montreal, QC H2V 4E4 Canada",Montreal,QC,H2V 4E4,45.51731,-73.58984,Ethiopian,72,4.5
Pincette,"94 Rue Saint Paul E Montreal, QC H2Y 1G6 Canada",Montreal,QC,H2Y 1G6,45.5064,-73.55293,"Seafood, Wine Bars, Cocktail Bars",59,4.4
Stash Café,"200 Rue Saint-Paul Ouest Montreal, QC H2Y 1Z9 Canada",Montreal,QC,H2Y 1Z9,45.50260615676877,-73.55518407260888,Polish,406,4.4
N° 900,"444 Rue McGill Montreal, QC H2Y 2G1 Canada",Montreal,QC,H2Y 2G1,45.500436,-73.558316,Pizza,54,4.3
Daldongnae - Montreal,"1216 Rue Bishop Montreal, QC H3G 2E3 Canada",Montreal,QC,H3G 2E3,45.49575,-73.5753,"Korean, Barbeque",100,4.3
Mae Sri,"224 Rue Milton Montreal, QC H2X 1V6 Canada",Montreal,QC,H2X 1V6,45.51039,-73.57262,Thai,99,4.0
Holder,"407 Rue McGill Montreal, QC H2Y 2G3 Canada",Montreal,QC,H2Y 2G3,45.50047,-73.55734,"French, Bars",393,4.2
Le Serpent,"257 Rue Prince Montreal, QC H3C 2N4 Canada",Montreal,QC,H3C 2N4,45.49756372609497,-73.55686379820928,"Italian, Brasseries",174,4.5
Chez Victoire,"1453 Avenue Mont-Royal E Montreal, QC H2J 1Z1 Canada",Montreal,QC,H2J 1Z1,45.53109931841519,-73.57652291717903,"French, Wine Bars",74,4.1
Le Garde Côte,"112 Rue McGill Suite 1 Montreal, QC H2Y 2E5 Canada",Montreal,QC,H2Y 2E5,45.499486,-73.555543,"Mediterranean, Greek, Seafood",80,4.3
Aux Vivres Plateau,"4631 Boulevard Saint-Laurent Montreal, QC H2T 1R2 Canada",Montreal,QC,H2T 1R2,45.5212392,-73.5883014,Vegan,426,4.2
Ristorante Quattro,"17 Rue Notre-Dame O Montreal, QC H2Y 1B6 Canada",Montreal,QC,H2Y 1B6,45.50587,-73.556052,Italian,145,4.1
KYO,"711 Côte de la Place d'Armes Montreal, QC H2Y 2X6 Canada",Montreal,QC,H2Y 2X6,45.50541,-73.55761,"Japanese, Sushi Bars",288,3.9
Lattuca Barbecue,"15 Rue de la Commune O Montreal, QC H2Y 2C6 Canada",Montreal,QC,H2Y 2C6,45.50499,-73.5538,Barbeque,197,4.4
Romados,"115 Rue Rachel E Montreal, QC H2W 1C8 Canada",Montreal,QC,H2W 1C8,45.519261587336665,-73.58070295798589,"Barbeque, Bakeries, Portuguese",558,4.2
Jellyfish Crudo + Charbon,"626 Rue Marguerite d'Youville Montreal, QC H3C 1W7 Canada",Montreal,QC,H3C 1W7,45.4989262422404,-73.5543499141932,Modern European,94,4.3
larrys,"5201 Boulevard Saint Laurent Montreal, QC H2T 1S4 Canada",Montreal,QC,H2T 1S4,45.52407441775497,-73.5946929842611,"Bars, Breakfast & Brunch",115,4.3
Sansotei,"370 Rue Sainte-Catherine O Montreal, QC H3B 1A1 Canada",Montreal,QC,H3B 1A1,45.50561,-73.56712,"Beer, Wine & Spirits, Ramen",58,4.4
Vices et Versa,"6631 Boulevard Saint-Laurent Montreal, QC H2S 3C5 Canada",Montreal,QC,H2S 3C5,45.5313378,-73.610497,"Poutineries, Brewpubs, Burgers",151,4.2
Nora Gray,"1391 Rue Saint-Jacques Montreal, QC H3C 4J4 Canada",Montreal,QC,H3C 4J4,45.49303,-73.568495,Italian,122,4.0
Bistro Tôt ou Tard,"1030 Rue Cherrier Montreal, QC H2L 1H7 Canada",Montreal,QC,H2L 1H7,45.52153,-73.56647,"French, Breakfast & Brunch",84,4.2
Le Taj,"2077 Rue Stanley Montreal, QC H3A 1R7 Canada",Montreal,QC,H3A 1R7,45.50087,-73.57643,Indian,317,3.9
Les Torchés,"74 Avenue du Mont-Royal E Montreal, QC H2T 1N7 Canada",Montreal,QC,H2T 1N7,45.5208508,-73.58559293743438,"Pubs, Tapas/Small Plates, Cocktail Bars",37,4.1
L'Auberge Saint-Gabriel,"426 Rue Saint-Gabriel Montreal, QC H2Y 2Z9 Canada",Montreal,QC,H2Y 2Z9,45.50642,-73.55418,"Venues & Event Spaces, Canadian (New)",94,4.0
Le 409,"409 Rue McGill Montreal, QC H2Y 2G3 Canada",Montreal,QC,H2Y 2G3,45.50053,-73.55772,"Gastropubs, Indian",58,4.3
Jardin Nelson,"407 Place Jacques-Cartier Montreal, QC H2Y 3B1 Canada",Montreal,QC,H2Y 3B1,45.5079539,-73.55262223588781,"Creperies, Jazz & Blues",716,4.1
Le Muscadin,"443 Rue Saint-Vincent Montreal, QC H2Y 3A6 Canada",Montreal,QC,H2Y 3A6,45.50749687716531,-73.5538224,Italian,41,5.0
N° 900,"2049 Rue Peel Montreal, QC H3A 1T6 Canada",Montreal,QC,H3A 1T6,45.501393,-73.575449,Pizza,151,4.1
Ta Pies,"4520 Avenue du Parc Montreal, QC H2V 4E3 Canada",Montreal,QC,H2V 4E3,45.51688,-73.590151,"Australian, Comfort Food, Desserts",137,4.5
Gokudo,"630 Rue Cathcart Montreal, QC H3B 0C3 Canada",Montreal,QC,H3B 0C3,45.50303,-73.56838,"Cocktail Bars, Japanese, Speakeasies",68,4.6
Maison Saint-Paul,"343 Rue Saint-Paul E Montreal, QC H2Y 1H2 Canada",Montreal,QC,H2Y 1H2,45.509204489716616,-73.5518333,"Champagne Bars, Seafood, Cocktail Bars",104,4.3
Les Pyrénées,"320 Rue Saint-Paul O Montreal, QC H2Y 2A3 Canada",Montreal,QC,H2Y 2A3,45.50127,-73.55608,Spanish,185,4.1
Crew Collective & Café,"360 Rue Saint-Jacques Suite G101 Montreal, QC H2Y 1P5 Canada",Montreal,QC,H2Y 1P5,45.502323,-73.559316,"Shared Office Spaces, Venues & Event Spaces, Cafes",425,4.3
Le Speakeasy,"120 Rue McGill Montreal, QC H2Y 2E5 Canada",Montreal,QC,H2Y 2E5,45.49946,-73.5558,International,57,4.4
Wienstein & Gavino's,"1434 Rue Crescent Montreal, QC H3G 2B6 Canada",Montreal,QC,H3G 2B6,45.49751251005118,-73.576754,"Italian, Wine Bars",285,3.8
Sushi Momo Végétalien,"3609 Rue Saint-Denis Montreal, QC H2X 3L6 Canada",Montreal,QC,H2X 3L6,45.51811,-73.56943,"Japanese, Sushi Bars, Vegan",110,4.6
Buvette Chez Simone,"4869 Avenue du Parc Montreal, QC H2V 4E7 Canada",Montreal,QC,H2V 4E7,45.51888,-73.59341,"Wine Bars, Tapas/Small Plates",122,4.3
Le Colonel Moutarde,"4418 Rue Saint-Denis Montreal, QC H2J 2L1 Canada",Montreal,QC,H2J 2L1,45.52324,-73.5819,Canadian (New),27,4.5
St-Viateur Bagel & Café,"1127 Avenue du Mont-Royal E Montreal, QC H2J 1X9 Canada",Montreal,QC,H2J 1X9,45.528427,-73.57911,"Bagels, Cafes",490,4.0
India Rosa,"1241 Avenue du Mont-Royal E Montreal, QC H2J 1Y2 Canada",Montreal,QC,H2J 1Y2,45.529291,-73.578237,"Indian, Cocktail Bars, Tapas Bars",115,4.0
Le Virunga,"851 Rue Rachel E Montreal, QC H2J 2H9 Canada",Montreal,QC,H2J 2H9,45.52409,-73.57633,African,43,4.7
Nouilles de Lan Zhou,"1006 Boulevard Saint-Laurent Montreal, QC H2Z 1J4 Canada",Montreal,QC,H2Z 1J4,45.5077814027869,-73.559594,"Chinese, Noodles",730,4.3
Boswell,"2407 Avenue du Mont-Royal E Montreal, QC H2H 1L2 Canada",Montreal,QC,H2H 1L2,45.5384,-73.56974,"Pubs, Brasseries, Breweries",46,4.3
Lola Rosa,"276 Rue Sainte-Catherine O Montreal, QC H2X 2A1 Canada",Montreal,QC,H2X 2A1,45.50682,-73.56614,Vegan,93,4.4
L'Usine de Spaghetti,"273 Rue Saint Paul E Montreal, QC H2Y 1H1 Canada",Montreal,QC,H2Y 1H1,45.5081154,-73.5523441,Italian,207,4.0
Chez José Café,"173 Avenue Duluth E Montreal, QC H2W 1H4 Canada",Montreal,QC,H2W 1H4,45.51869,-73.57799,"Breakfast & Brunch, Sandwiches, Portuguese",152,4.3
Pizzeria Dei Compari,"1668 Rue Saint-Denis Montreal, QC H2X 3K6 Canada",Montreal,QC,H2X 3K6,45.515,-73.56375,Pizza,95,4.1
Eggspectation - Complexe Desjardins,"190 Rue Saint-Catherine O Montreal, QC H2X 2X3 Canada",Montreal,QC,H2X 2X3,45.50747533524907,-73.5656675449969,"Breakfast & Brunch, Burgers, American",474,4.0
Mythos Ouzeri,"5318 Avenue Du Parc Montreal, QC H2V 4G7 Canada",Montreal,QC,H2V 4G7,45.52088,-73.59997,Greek,58,4.3
Sammi & Soupe Dumpling,"1909 Rue Saint-Catherine O Montreal, QC H3H 2E8 Canada",Montreal,QC,H3H 2E8,45.492696,-73.580787,"Chinese, Dumplings, Asian Fusion",237,3.9
Chez Delmo,"275 Rue Notre-Dame O Montreal, QC H2Y 1T8 Canada",Montreal,QC,H2Y 1T8,45.502845,-73.558353,"Seafood, French",104,4.3
Le Vin Papillon,"2519 Rue Notre-Dame Ouest Montreal, QC H3J 1N4 Canada",Montreal,QC,H3J 1N4,45.48277,-73.5754852,"Canadian (New), Wine Bars",157,4.3
QDC Burger,"210 Rue Saint Viateur O Montreal, QC H2T 2L5 Canada",Montreal,QC,H2T 2L5,45.523098,-73.601261,Burgers,29,4.7
Le Pois Penché,"1230 Boulevard de Maisonneuve O Montreal, QC H3G 1M2 Canada",Montreal,QC,H3G 1M2,45.499511,-73.576242,Brasseries,181,3.8
La Habanera,"1216 Avenue Union Montreal, QC H3B 3C4 Canada",Montreal,QC,H3B 3C4,45.50311,-73.56822,Cuban,87,4.0
Chifa,"1080 Rue de Bleury Montreal, QC H2Z 1N2 Canada",Montreal,QC,H2Z 1N2,45.50441,-73.5637,Peruvian,54,4.3
Café Parvis,"433 Rue Mayor Montreal, QC H3A Canada",Montreal,QC,H3A,45.505822,-73.569301,"Pizza, Cafes, Bars",233,4.1
Sammi & Soupe Dumpling,"68 Rue de la Gauchetière O Montreal, QC H2Z 1C1 Canada",Montreal,QC,H2Z 1C1,45.50734,-73.5603,Dumplings,67,4.3
Jun I,"156 Avenue Laurier O Montreal, QC H2T 2N7 Canada",Montreal,QC,H2T 2N7,45.521119,-73.594311,"Sushi Bars, Japanese",96,4.1
Pizzeria Bros,"13 Rue Notre-Dame O Montreal, QC H2Y 1S5 Canada",Montreal,QC,H2Y 1S5,45.5058610094765,-73.5559096025568,Pizza,136,4.4
Le Red Tiger,"1201 Boulevard de Maisonneuve E Montreal, QC H2L 2A1 Canada",Montreal,QC,H2L 2A1,45.519202,-73.557836,"Vietnamese, Pubs, Cocktail Bars",144,3.9
Pamika Thai,"4902 Boulevard Saint-Laurent Montreal, QC H2T 1R5 Canada",Montreal,QC,H2T 1R5,45.52205,-73.59123,"Thai, Barbeque, Cocktail Bars",24,4.3
La Fabrique,"3609 Rue St-Denis Montreal, QC H2X 3L6 Canada",Montreal,QC,H2X 3L6,45.51811,-73.56943,French,118,4.2
Impasto,"48 Rue Dante Montreal, QC H2S 1J5 Canada",Montreal,QC,H2S 1J5,45.53314,-73.61323,Italian,87,4.2
LOV McGill,"464 Rue McGill Montreal, QC H2Y 2H2 Canada",Montreal,QC,H2Y 2H2,45.5005534,-73.5590512,"Vegan, Vegetarian, Breakfast & Brunch",288,4.0
Restaurant Alep,"199 Rue Jean-Talon E Montreal, QC H2R 1S8 Canada",Montreal,QC,H2R 1S8,45.5364999,-73.61646,"Middle Eastern, Syrian",48,4.6
Casa Minhota,"3959 Boulevard Saint-Laurent Montreal, QC H2W 1Y4 Canada",Montreal,QC,H2W 1Y4,45.51664,-73.57791,Portuguese,49,4.0
L'Amère à Boire,"2049 Rue Saint-Denis Montreal, QC H2X 3K8 Canada",Montreal,QC,H2X 3K8,45.51642,-73.566042,"Tapas Bars, Brewpubs",69,4.0
Marcus Restaurant + Terrace,"1440 Rue de la Montagne Montreal, QC H3G 1Z5 Canada",Montreal,QC,H3G 1Z5,45.498525,-73.5764919,"Breakfast & Brunch, Cocktail Bars, Tapas/Small Plates",91,3.8
KazaMaza,"4629 av du parc Montreal, QC H2V 4E4 Canada",Montreal,QC,H2V 4E4,45.517858,-73.591312,Middle Eastern,143,4.1
Boustan,"2020 Rue Crescent Montreal, QC H3G 2B8 Canada",Montreal,QC,H3G 2B8,45.49792,-73.57789,"Middle Eastern, Mediterranean",470,4.2
Bar Pamplemousse,"1579 Boulevard Saint-Laurent Montreal, QC H2X 2S9 Canada",Montreal,QC,H2X 2S9,45.51097,-73.56564,"Beer Bar, Gastropubs, Caribbean",48,4.1
Plein Sud,"5064 Avenue Papineau Montreal, QC H2H 1V8 Canada",Montreal,QC,H2H 1V8,45.5354763,-73.5807972,"French, Wine Bars, Tapas/Small Plates",62,4.5
Brit & Chips,"433 Rue McGill Montreal, QC H2Y 2H1 Canada",Montreal,QC,H2Y 2H1,45.50074,-73.55806,"British, Fish & Chips",319,4.2
Wilensky,"34 Avenue Fairmount Ouest Montreal, QC H2T 2M1 Canada",Montreal,QC,H2T 2M1,45.52331,-73.59472,Delis,144,4.4
Philinos,"4806 Avenue du Parc Montreal, QC H2V 4E7 Canada",Montreal,QC,H2V 4E7,45.5181084,-73.5929718,Greek,30,4.3
Chez Suzette,"3 Rue Saint-Paul E Montreal, QC H2Y 1E9 Canada",Montreal,QC,H2Y 1E9,45.505754,-73.553824,"Creperies, Desserts, Fondue",518,3.7
Le Butterblume,"5836 Boulevard Saint-Laurent Montreal, QC H2T 1T3 Canada",Montreal,QC,H2T 1T3,45.52750899999999,-73.60300732023772,"Cafes, Breakfast & Brunch, Flowers & Gifts",90,4.3
Darbar,"2027 Boulevard Saint-Laurent Montreal, QC H2X 1G3 Canada",Montreal,QC,H2X 1G3,45.51174,-73.56731,Indian,328,4.1
Place Carmin,"740 Rue William Montreal, QC H3C 1P1 Canada",Montreal,QC,H3C 1P1,45.49820816147015,-73.5576066104322,"French, Bars, Seafood",55,4.7
Fabergé,"25 Avenue Fairmount O Montreal, QC H2T 2L9 Canada",Montreal,QC,H2T 2L9,45.52351,-73.594997,"Breakfast & Brunch, Creperies",428,4.0
Jano Grillades,"3883 Boulevard Saint Laurent Montreal, QC H2W 1X9 Canada",Montreal,QC,H2W 1X9,45.51623,-73.57725,"Portuguese, Barbeque",88,4.1
Breizh Café,"3991 Boulevard Saint-Laurent Montreal, QC H2W 1Y4 Canada",Montreal,QC,H2W 1Y4,45.5167034,-73.5787906,"Creperies, Breakfast & Brunch",103,4.5
Siam,"1325 Boulevard René-Lévesque O Montreal, QC H3G 0A1 Canada",Montreal,QC,H3G 0A1,45.496606,-73.572863,Thai,114,4.1
Helena,"438 McGill Montreal, QC H2Y 2G5 Canada",Montreal,QC,H2Y 2G5,45.5002799,-73.55837,"Portuguese, Seafood",102,4.2
