Name,Address,City,State,Zip Code,Phone,Rating,Review Count,Longitude,Latitude
Onoir,124 Rue Prince Arthur E,Montreal,QC,H2X 1B5,+15149379727,4.3,128,-73.571405,45.515113
Le Filet,219 Ave du Mont Royal W,Montreal,QC,H2T 2Y6,+15143606060,4.4,116,-73.5844894,45.5224024
Dunn's,1249 Rue Metcalfe,Montreal,QC,H3B 2V5,+15143951927,3.9,356,-73.57158873558198,45.500616619166614
Bar George,1440 Rue Drummond,Montreal,QC,H3G 1V9,+15146699243,4.3,275,-73.575678,45.49914524060438
BEVO Bar + Pizzeria,410 Rue Saint Vincent,Montreal,QC,H2Y 3A6,+15148615039,4.0,418,-73.55324,45.50696
Joe Beef,2491 Rue Notre-Dame Ouest,Montreal,QC,H3J 1N6,+15149356504,4.3,834,-73.575308,45.483062
Cadet,1431 Boulevard Saint-Laurent,Montreal,QC,H2X 2S8,+15149031631,4.5,127,-73.564418,45.5103
Gyu-Kaku Japanese BBQ,1255 Rue Crescent,Montreal,QC,H3G 2B1,+15148668808,4.4,218,-73.5746,45.49681
Leméac,1045 Avenue Laurier O,Montreal,QC,H2V 2L1,+15142700999,4.2,303,-73.59735,45.51832
The Keg Steakhouse + Bar,5 Place Ville Marie,Montreal,QC,H3B 2G2,+15148681999,4.2,350,-73.5694969,45.5007523
Yokato Yokabai,4185 Rue Drolet,Montreal,QC,H2W 2L5,+15142829991,4.3,511,-73.578518757916,45.5212206164378
Escondite,1206 Avenue Union,Montreal,QC,H3B 3A7,+15144199755,4.2,262,-73.567959,45.502978
Lola Rosa,545 Rue Milton,Montreal,QC,H2X 1W5,+15142879337,4.3,307,-73.5757481897374,45.5073247805376
NYK'S,1250 Rue de Bleury,Montreal,QC,H3B 2W4,+15148661787,4.1,210,-73.566685,45.5060324
Maison Boulud,1228 Rue Sherbrooke O,Montreal,QC,H3G 1G2,+15148424224,4.2,203,-73.5779699,45.49985
Saint Sushi Plateau,424 Avenue Duluth E,Montreal,QC,H2L 1A3,+15145077537,4.5,378,-73.575346,45.521106
Estiatorio Milos,5357 Ave Du Parc,Montreal,QC,H2V 4G9,+15142723522,4.2,177,-73.60049302269982,45.52169101888991
Le Club Chasse et Pêche,423 Rue Saint-Claude,Montreal,QC,H2Y 3B6,+15148611112,4.6,237,-73.55241,45.50893
Jatoba,1184 Place Phillips,Montreal,QC,H3B 3C8,+15148711184,4.0,150,-73.567344,45.503313
Gibbys,298 Place d'Youville,Montreal,QC,H2Y 2B6,+15142821837,4.3,556,-73.55475,45.50141
Ta Pies,4520 Avenue du Parc,Montreal,QC,H2V 4E3,+15142777437,4.5,137,-73.590151,45.51688
Réservoir,9 Avenue Duluth E,Montreal,QC,H2W 1G7,+15148497779,4.1,154,-73.57932,45.517237
Le Mousso,1023 Rue Ontario E,Montreal,QC,H2L 1P8,+14383847410,4.5,57,-73.56322,45.52006
Tiradito,1076 Rue de Bleury,Montreal,QC,H2Z 1N1,+15148666776,4.1,160,-73.56348,45.50434
Garde Manger,408 Rue Saint-François-Xavier,Montreal,QC,H2Y 2S9,+15146785044,4.2,459,-73.5557,45.50273
Romados,115 Rue Rachel E,Montreal,QC,H2W 1C8,+15144195515,4.2,558,-73.58070295798589,45.519261587336665
L'Usine de Spaghetti,273 Rue Saint Paul E,Montreal,QC,H2Y 1H1,+15148660963,4.0,207,-73.5523441,45.5081154
L'Orignal,479 Rue Saint-Alexis,Montreal,QC,H2Y 2N7,+15143030479,4.2,298,-73.55798,45.50275
Patati Patata,4177 Boulevard Saint-Laurent,Montreal,QC,H2W 1Y7,+15148440216,4.2,372,-73.581503,45.51814
Taza Flores,5375 Avenue du Parc,Montreal,QC,H2V 4G9,+15142745516,4.3,52,-73.60072,45.52183
KINTON RAMEN BISHOP,1211 Rue Bishop,Montreal,QC,H3G 2E2,+14383876187,3.9,266,-73.57487,45.49601
Holder,407 Rue McGill,Montreal,QC,H2Y 2G3,+15148490333,4.2,393,-73.55734,45.50047
Stash Café,200 Rue Saint-Paul Ouest,Montreal,QC,H2Y 1Z9,+15148456611,4.4,406,-73.55518407260888,45.50260615676877
Lawrence,9 Avenue Fairmount E,Montreal,QC,H2T 2L9,+15147965686,4.3,238,-73.5946503,45.524143
Escondite,1224 Rue Drummond,Montreal,QC,H3G 1V7,+15143755945,4.4,65,-73.573128,45.497994
Chez Victoire,1453 Avenue Mont-Royal E,Montreal,QC,H2J 1Z1,+15145216789,4.1,74,-73.57652291717903,45.53109931841519
Gus,38 Rue Beaubien E,Montreal,QC,H2S 1P8,+15147222175,4.5,97,-73.6080747,45.5306384
Eggspectation - Complexe Desjardins,190 Rue Saint-Catherine O,Montreal,QC,H2X 2X3,+15142886448,4.0,474,-73.5656675449969,45.50747533524907
MajesThé,2077 Boulevard Robert-Bourassa,Montreal,QC,H3A 2M3,+15148405128,4.1,170,-73.572759,45.50484
Beatrice,1504 Rue Sherbrooke O,Montreal,QC,H3G 1L3,+15149376009,4.1,96,-73.5809371404922,45.49696960899045
O'Thym,1112 Boulevard de Maisonneuve E,Montreal,QC,H2L 1Z5,+15145253443,4.4,183,-73.558126,45.518377
Mae Sri,224 Rue Milton,Montreal,QC,H2X 1V6,+14387978888,4.0,99,-73.57262,45.51039
Kinka Izakaya Montreal,1624 Rue Sainte-Catherine Ouest,Montreal,QC,H3H 2S7,+15147501624,3.9,387,-73.5788095157423,45.4939720355803
Biirū,1433 City Councillors,Montreal,QC,H3A 2E4,+15149031555,4.0,203,-73.5686505,45.5049159
Le Serpent,257 Rue Prince,Montreal,QC,H3C 2N4,+15143164666,4.5,174,-73.55686379820928,45.49756372609497
Vices et Versa,6631 Boulevard Saint-Laurent,Montreal,QC,H2S 3C5,+15142722498,4.2,151,-73.610497,45.5313378
Joséphine,4007 Rue Saint-Denis,Montreal,QC,H2W 2M4,+15148405015,4.4,34,-73.57556,45.52086
Pullman,3424 Avenue du Parc,Montreal,QC,H2X 2H5,+15142887779,4.1,206,-73.5721,45.50845
Imadake,4006 Rue Sainte-Catherine O,Montreal,QC,H3Z 1P2,+15149318833,4.1,294,-73.5845826711644,45.488882667853325
N° 900,444 Rue McGill,Montreal,QC,H2Y 2G1,+15143794900,4.3,54,-73.558316,45.500436
Les Torchés,74 Avenue du Mont-Royal E,Montreal,QC,H2T 1N7,+15145646011,4.1,37,-73.58559293743438,45.5208508
KYO,711 Côte de la Place d'Armes,Montreal,QC,H2Y 2X6,+15142822711,3.9,288,-73.55761,45.50541
Queen Sheba,4525 Avenue du Parc,Montreal,QC,H2V 4E4,+15148409494,4.5,72,-73.58984,45.51731
Chez José Café,173 Avenue Duluth E,Montreal,QC,H2W 1H4,+15146632381,4.3,152,-73.57799,45.51869
larrys,5201 Boulevard Saint Laurent,Montreal,QC,H2T 1S4,,4.3,115,-73.5946929842611,45.52407441775497
Sushi Momo Végétalien,3609 Rue Saint-Denis,Montreal,QC,H2X 3L6,+15148256363,4.6,110,-73.56943,45.51811
Daldongnae - Montreal,1216 Rue Bishop,Montreal,QC,H3G 2E3,+15148781111,4.3,100,-73.5753,45.49575
La Capital Tacos,1096 Boulevard Saint-Laurent,Montreal,QC,H2Z 1J5,+15148735255,4.1,340,-73.561,45.50838
Sammi & Soupe Dumpling,1909 Rue Saint-Catherine O,Montreal,QC,H3H 2E8,+15148468886,3.9,237,-73.580787,45.492696
N° 900,2049 Rue Peel,Montreal,QC,H3A 1T6,+15143030334,4.1,151,-73.575449,45.501393
Breizh Café,3991 Boulevard Saint-Laurent,Montreal,QC,H2W 1Y4,+15144195634,4.5,103,-73.5787906,45.5167034
Hoogan et Beaufort,4095 Rue Molson,Montreal,QC,H1Y 3L1,+15149031233,4.5,91,-73.5634769072506,45.5421766124662
Bistro Tôt ou Tard,1030 Rue Cherrier,Montreal,QC,H2L 1H7,+15145647357,4.2,84,-73.56647,45.52153
L'Auberge Saint-Gabriel,426 Rue Saint-Gabriel,Montreal,QC,H2Y 2Z9,+15148783561,4.0,94,-73.55418,45.50642
Pizzeria Dei Compari,1668 Rue Saint-Denis,Montreal,QC,H2X 3K6,+15148436411,4.1,95,-73.56375,45.515
Pincette,94 Rue Saint Paul E,Montreal,QC,H2Y 1G6,+15148764261,4.4,59,-73.55293,45.5064
Nouilles de Lan Zhou,1006 Boulevard Saint-Laurent,Montreal,QC,H2Z 1J4,+15148002959,4.3,730,-73.559594,45.5077814027869
The Keg Steakhouse + Bar - Montreal,25 Saint Paul Street E,Montreal,QC,H2Y 1G2,+15148719093,4.2,251,-73.55361568537528,45.5060875776279
Le Taj,2077 Rue Stanley,Montreal,QC,H3A 1R7,+15148459015,3.9,317,-73.57643,45.50087
La Fabrique,3609 Rue St-Denis,Montreal,QC,H2X 3L6,+15145445038,4.2,118,-73.56943,45.51811
Jardin Nelson,407 Place Jacques-Cartier,Montreal,QC,H2Y 3B1,+15148615731,4.1,716,-73.55262223588781,45.5079539
Wienstein & Gavino's,1434 Rue Crescent,Montreal,QC,H3G 2B6,+15142882231,3.8,285,-73.576754,45.49751251005118
Jun I,156 Avenue Laurier O,Montreal,QC,H2T 2N7,+15142765864,4.1,96,-73.594311,45.521119
Aux Vivres Plateau,4631 Boulevard Saint-Laurent,Montreal,QC,H2T 1R2,+15148423479,4.2,426,-73.5883014,45.5212392
Le Garde Côte,112 Rue McGill,Montreal,QC,H2Y 2E5,+15148420867,4.3,80,-73.555543,45.499486
Les Pyrénées,320 Rue Saint-Paul O,Montreal,QC,H2Y 2A3,+15148425566,4.1,185,-73.55608,45.50127
Nora Gray,1391 Rue Saint-Jacques,Montreal,QC,H3C 4J4,+15144196672,4.0,122,-73.568495,45.49303
Sansotei,370 Rue Sainte-Catherine O,Montreal,QC,H3B 1A1,+15145045151,4.4,58,-73.56712,45.50561
Le Virunga,851 Rue Rachel E,Montreal,QC,H2J 2H9,+15145048642,4.7,43,-73.57633,45.52409
Olive + Gourmando,351 Rue Saint-Paul O,Montreal,QC,H2Y 2A7,+15143501083,4.4,1710,-73.5564745926598,45.501197
Le Vin Papillon,2519 Rue Notre-Dame Ouest,Montreal,QC,H3J 1N4,+15144396494,4.3,157,-73.5754852,45.48277
India Rosa,1241 Avenue du Mont-Royal E,Montreal,QC,H2J 1Y2,+15145431880,4.0,115,-73.578237,45.529291
Le Muscadin,443 Rue Saint-Vincent,Montreal,QC,H2Y 3A6,+15148420588,5.0,41,-73.5538224,45.50749687716531
Le Passé Composé,1310 Boulevard de Maisonneuve E,Montreal,QC,H2L 2A5,,4.4,409,-73.556603,45.520079
Sparrow,5322 Boulevard Saint-Laurent,Montreal,QC,H2T 1A5,+15145071642,4.0,211,-73.59662,45.52453
Jellyfish Crudo + Charbon,626 Rue Marguerite d'Youville,Montreal,QC,H3C 1W7,+15143030908,4.3,94,-73.5543499141932,45.4989262422404
Le Speakeasy,120 Rue McGill,Montreal,QC,H2Y 2E5,+15149037710,4.4,57,-73.5558,45.49946
Brit & Chips,433 Rue McGill,Montreal,QC,H2Y 2H1,+15148401001,4.2,319,-73.55806,45.50074
Chez Delmo,275 Rue Notre-Dame O,Montreal,QC,H2Y 1T8,+15142884288,4.3,104,-73.558353,45.502845
St-Viateur Bagel & Café,1127 Avenue du Mont-Royal E,Montreal,QC,H2J 1X9,+15145286361,4.0,490,-73.57911,45.528427
Ristorante Quattro,17 Rue Notre-Dame O,Montreal,QC,H2Y 1B6,+15149032909,4.1,145,-73.556052,45.50587
Mythos Ouzeri,5318 Avenue Du Parc,Montreal,QC,H2V 4G7,+15142700235,4.3,58,-73.59997,45.52088
QDC Burger,210 Rue Saint Viateur O,Montreal,QC,H2T 2L5,+15143120321,4.7,29,-73.601261,45.523098
Le Pois Penché,1230 Boulevard de Maisonneuve O,Montreal,QC,H3G 1M2,+15146675050,3.8,181,-73.576242,45.499511
Le 409,409 Rue McGill,Montreal,QC,H2Y 2G3,+15147500409,4.3,58,-73.55772,45.50053
Pizzeria Bros,13 Rue Notre-Dame O,Montreal,QC,H2Y 1S5,+15149037222,4.4,136,-73.5559096025568,45.5058610094765
Boswell,2407 Avenue du Mont-Royal E,Montreal,QC,H2H 1L2,+14383864661,4.3,46,-73.56974,45.5384
Lola Rosa,276 Rue Sainte-Catherine O,Montreal,QC,H2X 2A1,+15145430613,4.4,93,-73.56614,45.50682
Buvette Chez Simone,4869 Avenue du Parc,Montreal,QC,H2V 4E7,+15147506577,4.3,122,-73.59341,45.51888
Ye Olde Orchard,20 Rue Prince Arthur,Montreal,QC,H2X 1S3,+15148457772,4.0,56,-73.5726,45.51343
L'Amère à Boire,2049 Rue Saint-Denis,Montreal,QC,H2X 3K8,+15142827448,4.0,69,-73.566042,45.51642
Plein Sud,5064 Avenue Papineau,Montreal,QC,H2H 1V8,+15145106234,4.5,62,-73.5807972,45.5354763
Le Butterblume,5836 Boulevard Saint-Laurent,Montreal,QC,H2T 1T3,+15149039115,4.3,90,-73.60300732023772,45.52750899999999
Gokudo,630 Rue Cathcart,Montreal,QC,H3B 0C3,+15143753715,4.6,68,-73.56838,45.50303
La Raclette,1059 Rue Gilford,Montreal,QC,H2J 1P7,+15145248118,4.4,56,-73.5827571103087,45.5295503804062
Chifa,1080 Rue de Bleury,Montreal,QC,H2Z 1N2,+15145438488,4.3,54,-73.5637,45.50441
Le Colonel Moutarde,4418 Rue Saint-Denis,Montreal,QC,H2J 2L1,+14383854418,4.5,27,-73.5819,45.52324
Lattuca Barbecue,15 Rue de la Commune O,Montreal,QC,H2Y 2C6,+15142461680,4.4,197,-73.5538,45.50499
Jano Grillades,3883 Boulevard Saint Laurent,Montreal,QC,H2W 1X9,+15148490646,4.1,88,-73.57725,45.51623
Boustan,2020 Rue Crescent,Montreal,QC,H3G 2B8,+15148433194,4.2,470,-73.57789,45.49792
Le Red Tiger,1201 Boulevard de Maisonneuve E,Montreal,QC,H2L 2A1,+15144397006,3.9,144,-73.557836,45.519202
Café Parvis,433 Rue Mayor,Montreal,QC,H3A,+15147643589,4.1,233,-73.569301,45.505822
Crew Collective & Café,360 Rue Saint-Jacques,Montreal,QC,H2Y 1P5,+15142857095,4.3,425,-73.559316,45.502323
Aldea,4403 Boulevard Saint-Laurent,Montreal,QC,H2W 1Z8,+15148436464,4.5,24,-73.5848534494062,45.5194122950185
Mandy's,2067 Rue Crescent,Montreal,QC,H3G 2C1,+15144190779,4.0,160,-73.5778799,45.49841
Casa Minhota,3959 Boulevard Saint-Laurent,Montreal,QC,H2W 1Y4,+15148422661,4.0,49,-73.57791,45.51664
Isle de Garde,1039 Rue Beaubien Est,Montreal,QC,H2S 1T3,+15148354007,4.2,69,-73.60205,45.53756
Café St-Barth,3500 Avenue du Parc,Montreal,QC,H2X 2H7,+15143038866,4.6,50,-73.573846,45.509475
Maison Saint-Paul,343 Rue Saint-Paul E,Montreal,QC,H2Y 1H2,+15149039343,4.3,104,-73.5518333,45.509204489716616
Philinos,4806 Avenue du Parc,Montreal,QC,H2V 4E7,+15142719099,4.3,30,-73.5929718,45.5181084
Bar Pamplemousse,1579 Boulevard Saint-Laurent,Montreal,QC,H2X 2S9,+15145431579,4.1,48,-73.56564,45.51097
La Habanera,1216 Avenue Union,Montreal,QC,H3B 3C4,+15143755355,4.0,87,-73.56822,45.50311
Bis,1229 Rue de la Montagne,Montreal,QC,H3G 1Z2,+15148663234,4.0,73,-73.57424,45.49779
Place Carmin,740 Rue William,Montreal,QC,H3C 1P1,+15144390740,4.7,55,-73.5576066104322,45.49820816147015
Darbar,2027 Boulevard Saint-Laurent,Montreal,QC,H2X 1G3,+15149823724,4.1,328,-73.56731,45.51174
Singh's,3712 Boulevard Saint-Laurent,Montreal,QC,H2X 2V4,+15143034800,4.0,112,-73.57461,45.51456
Ibérica,1450 Rue Peel,Montreal,QC,H3A,+15142851888,3.9,77,-73.57449,45.50047
Wilensky,34 Avenue Fairmount Ouest,Montreal,QC,H2T 2M1,+15142710247,4.4,144,-73.59472,45.52331
Che Churros & Empanadas,100 Rue Marie-Anne O,Montreal,QC,H2W 1B9,+15149829212,4.8,25,-73.58522,45.51767
Impasto,48 Rue Dante,Montreal,QC,H2S 1J5,+15145086508,4.2,87,-73.61323,45.53314
Restaurant Atma,3962 Boulevard Saint-Laurent,Montreal,QC,H2W 1Y3,+15147988484,3.9,79,-73.579113,45.5166568
Le Rouge Gorge,1234 Mont-royal E,Montreal,QC,H2J 1Y2,+15143033822,4.3,35,-73.5779781639576,45.5291117540899
Marcus Restaurant + Terrace,1440 Rue de la Montagne,Montreal,QC,H3G 1Z5,+15148432525,3.8,91,-73.5764919,45.498525
Hà,243 Avenue Mont-Royal O,Montreal,QC,H2T 2T2,+15148480336,3.9,98,-73.58888,45.51778
Falafel Yoni,54 Rue Saint-Viateur O,Montreal,QC,H2T 2K8,+15144247767,4.4,57,-73.5994410725156,45.52506430088721
Lloydie's,66 Rue Saint Viateur O,Montreal,QC,H2T 2K8,+15142747474,4.3,63,-73.59957,45.524844
Sammi & Soupe Dumpling,68 Rue de la Gauchetière O,Montreal,QC,H2Z 1C1,+15143931888,4.3,67,-73.5603,45.50734
Café Santropol,3990 Rue Saint-Urbain,Montreal,QC,H2W 1T7,+15148423110,3.7,201,-73.58054,45.51555
Cuisine AuntDai,1448 Rue Saint Mathieu,Montreal,QC,H3H 2H9,+15149351067,4.3,91,-73.58048,45.49425
Siam,1325 Boulevard René-Lévesque O,Montreal,QC,H3G 0A1,+14383800655,4.1,114,-73.572863,45.496606
Opiano,1115 Rue Sherbrooke O,Montreal,QC,H3A 1H3,+14383333335,4.1,75,-73.5769085,45.5018212
L’Entrepôt - Mont-Royal,1019 Avenue du Mont-Royal E,Montreal,QC,H2J 1X7,+15145073133,3.8,142,-73.579729,45.527648
Nos Thés,1609 Rue Sainte-Catherine Ouest,Montreal,QC,H3H 2S7,+15149040246,3.8,174,-73.57826,45.494956
Shawarmaz,1340 Saint-Catherine Street West,Montreal,QC,H3G 1P6,+15144319345,4.1,184,-73.57524787359317,45.4973876
KazaMaza,4629 av du parc,Montreal,QC,H2V 4E4,+15148446292,4.1,143,-73.591312,45.517858
Chez Suzette,3 Rue Saint-Paul E,Montreal,QC,H2Y 1E9,+15148741984,3.7,518,-73.553824,45.505754
Caifan Tacos Bar,4542 Saint Denis Street,Montreal,QC,H2S 1R1,+15149038585,4.6,19,-73.58375260000001,45.5241886
C'ChoColat,1255 Rue Bishop,Montreal,QC,H3G 2E2,+15143927777,4.2,265,-73.57531,45.49622
Montréal Plaza,6230 Rue Saint-Hubert,Montreal,QC,H2S 2M2,+15149036230,4.5,116,-73.600521,45.534836
Jacopo,436 Place Jacques-Cartier,Montreal,QC,H2Y 3B3,+15148768844,3.8,105,-73.553255,45.50772
Burger Fiancé,417 Rue Notre-Dame O,Montreal,QC,H2Y 1V2,+15148403614,4.7,37,-73.559522,45.501507
Gyubee Japanese Grill - Montreal,1836 Sainte-Catherine Street West,Montreal,QC,H3H 1M1,+15148466886,4.6,26,-73.57967107576893,45.4931297
Maestro SVP,3615 Boulevard Saint-Laurent,Montreal,QC,H2X 1V5,+15148426447,3.8,127,-73.5729452,45.514196
Café Chat l'Heureux,172 Avenue Duluth Est,Montreal,QC,H2W 1H3,+14383331505,4.2,126,-73.5777685434669,45.5185944099933
La Tamalera,226 Avenue Fairmount O,Montreal,QC,H2T 2M7,+14383815034,4.5,60,-73.5966399,45.52114
Helena,438 McGill,Montreal,QC,H2Y 2G5,+15148781555,4.2,102,-73.55837,45.5002799
La Finca,1067 Rue de Bleury,Montreal,QC,H2Z 1N1,+15149038911,4.5,184,-73.5628843680024,45.5043279884477
Portus360,777 Boulevard Robert-Bourassa,Montreal,QC,H3C 3Z7,+15148492070,3.8,80,-73.56242,45.49997
Lotus Bleu,988 Boulevard Saint-Laurent,Montreal,QC,H2Z 1J3,+15146913519,4.5,35,-73.55927269508835,45.507662775359826
LOV McGill,464 Rue McGill,Montreal,QC,H2Y 2H2,+15142871155,4.0,288,-73.5590512,45.5005534
Vieux-Port Steakhouse,39 Rue Saint Paul E,Montreal,QC,H2Y 1G2,+15148663175,3.6,328,-73.553588470931,45.50617298481
Le Central,30 Rue Sainte-Catherine O,Montreal,QC,H2X 3V4,,4.4,43,-73.56292127116336,45.50930935934862
Restaurant Alep,199 Rue Jean-Talon E,Montreal,QC,H2R 1S8,+15142706396,4.6,48,-73.61646,45.5364999
Pamika Thai,4902 Boulevard Saint-Laurent,Montreal,QC,H2T 1R5,+15145089444,4.3,24,-73.59123,45.52205
Thammada,1205 Avenue Bernard O,Montreal,QC,H2V 1V5,+15142765888,4.5,50,-73.60868,45.52049
Lester's Deli,1057 Avenue Bernard,Outremont,QC,H2V 1V1,+15142131313,4.2,127,-73.607076,45.522144
Perché,153 Rue Saint-Amable,Montreal,QC,H2Y 1E7,+15143792010,3.9,51,-73.553193,45.507285
COQCOR,1237 Rue Guy,Montreal,QC,H3H 2K5,+15145081144,4.8,15,-73.57690763252108,45.49486440078368
Montréal Paella,3686B Boulevard Saint-Laurent,Montreal,QC,H2X 2V4,+15148425900,4.4,20,-73.57423,45.51439
Au Petit Extra,1690 Rue Ontario Est,Montreal,QC,H2L 1S7,+15145275552,4.2,57,-73.55936,45.5254
Resto Keela,1237 Rue Atateken,Montreal,QC,H2L 3K9,+15145287617,4.9,14,-73.5556896,45.516995
Keung Kee,70 Rue de la Gauchetière O,Montreal,QC,H2Z 1C1,+15143931668,3.8,133,-73.56036,45.50725
